Oxysoft export of:	C:\Users\NIRS\Desktop\colm1222
Export date:	2016/11/23 17:17:46
Start of measurement:	2016-11-23 17:13:14.284

Datafile sample rate:	10.00	Hz
Datafile duration:	228.00	s
Datafile total number of samples:	2280

Description:	

Optode-template:	3 x 1 channel (split) I
Optode distance (mm):	 10.00	10.00	10.00
Optode gradients (mm):	 -	-	-
DPF:	4.00	4.00	4.00

Device id:	10221
# Receivers:	2
# Light sources:	8
# ADC:	0

Light source wavelengths:
device	index	wavelength
1	1	847	nm
1	2	762	nm
1	3	847	nm
1	4	761	nm
1	5	847	nm
1	6	761	nm
1	7	847	nm
1	8	761	nm

Export sample rate:	10.00	Hz
No time span selected, exporting full time span



Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1 - Tx1 O2Hb (colm1222)
3	Rx1 - Tx1 HHb (colm1222)
4	Rx2a - Tx2 O2Hb (colm1222)
5	Rx2a - Tx2 HHb (colm1222)
6	Rx2b - Tx3 O2Hb (colm1222)
7	Rx2b - Tx3 HHb (colm1222)
8	(Event)


1	2	3	4	5	6	7	8
    69	130.2228	54.4122	11.1261	-1.4096	-23.3162	 2.5376	 
    70	-94.8585	138.9094	17.9282	-3.9213	-22.4254	 3.0708	 
    71	-94.8585	138.9094	16.1728	-3.2731	-20.3771	 4.2261	 
    72	-93.0196	138.2191	20.6127	-5.9246	-20.1878	 4.2686	 
    73	-93.3874	138.3572	17.9282	-3.9213	-21.2119	 4.0096	 
    74	-93.3874	138.3572	20.5098	-3.8625	-20.2824	 4.5660	 
    75	-93.5345	138.4124	20.6127	-5.9246	-19.4433	 4.8559	 
    76	-94.0494	138.6057	16.3488	-5.3622	-19.7531	 4.6704	 
    77	-94.5643	138.7990	26.0251	-7.9232	-19.7919	 4.6472	 
    78	-94.9321	138.9370	13.3166	 0.8927	-19.4046	 4.8790	 
    79	-95.2999	139.0751	12.8083	-2.0307	-18.9571	 4.8637	 
    80	-94.6379	138.8266	19.5462	-2.4572	-17.8942	 5.7832	 
    81	-94.1965	138.6609	20.2438	 0.5088	-16.9819	 6.0461	 
    82	-94.5643	138.7990	23.0703	-1.6219	-17.4467	 5.7679	 
